,id,prediction,mean_cosine_score,ref_cap_1,cos_scr_1,ref_cap_2,cos_scr_2,ref_cap_3,cos_scr_3,ref_cap_4,cos_scr_4,ref_cap_5,cos_scr_5
0,377872472_35805fc143,a dog running through the snow,0.23298542547195328,one dog is standing whilst two other dogs are running in the snow,0.5331556717240427,three dogs are playing around in the snow,0.16860876375808503,three dogs chasing each other in the snow,0.16860876375808503,three dogs play in snow,0.10667301902611774,two dogs play together in the snow,0.18788090909343585
1,377872672_d499aae449,a man and a dog are running in the snow,0.35761202916754925,four dogs play in the snow with the city skyline behind them,0.17711888754697366,the dogs are playing in the snow,0.5208907324063576,three dogs are in the snow  and one is wearing a winter coat,0.4616498810813937,three dogs playing in the snow while one dog wears a jacket,0.3624652266298444,three dogs playing in the snow  with a city in the background,0.26593541817317695
2,378170167_9b5119d918,a dog running through the snow,0.26945490775740427,a white dog is running along a path outside,0.21948511546153865,a white dog travels along a narrow path in a park setting,0.05469332716745207,a yellow dog running along a forest path,0.2226331704570939,the twotone dog is running down the trail,0.5791318800696514,white dog traveling alone down a paved path through some woods,0.2713310456312853
3,378453580_21d688748e,a dog jumping through the air,0.265015708290832,a dog is jumping over a log in a wooded area while carrying another log,0.3152626052135506,a dog with a stick in his mouth jumps over a fallen tree in the forest,0.18327773479840972,dog carries stick and jumps over a log,0.10659039403905814,the dog carries a stick and jumps over a log in the woods,0.3599739037015707,the dog jumps over the log with a stick in its mouth,0.3599739037015708
4,379006645_b9a2886b51,a dog jumping off a dock,0.1835063934123154,a black and brown dog is running between two cement barriers with snow,0.16576612369923127,a dog runs down the cold aisle,0.22036897804645145,black and tan small dog walking with perked ears,0.18671740784686744,the black and brown dog walks toward the camera  in an enclosed  snowy area,0.1452966767452622,the brown and black dog is running through a snowy street,0.19938278072376453
5,380034515_4fbdfa6b26,a dog jumps over a log,0.17641757662185867,a furry dog is running through a doorway leading to plants,0.18992262868477486,a furry  tan dog is outside on a patio,0.2211194598051874,a short  furry dog stands on a brick floor in front of a group of potted plants,0.1274543145049151,a very hairy dog is running down a hall,0.20905444571530132,flowers are behind the fluffy dog that is coming up the step,0.13453703439911474
6,380041023_0dfd712ef1,a brown dog is jumping up to catch a ball,0.3410044198146315,a brown and black dog runs through the leaves,0.15754050100292014,a brown dog is running,0.5485927663260053,a brown dog with a red collar jumping across a leafy lawn,0.4412189795297699,a dog with a brindlecolored coat is running across the yard,0.19412519219703372,the brown dog is wearing a red collar,0.3635446600174283
7,380515798_c2abbf46b0,a woman in a red coat and black pants is walking on a sidewalk,0.21001559785251858,a crowd walks along a sidewalk of a farmers market,0.13653010998070797,a street market filled with white tents  pedestrians  and vendors,0.12645551226876323,a woman looks over a table of organic vegetables at a farmer s market,0.17003479945487682,men and women walking on the sidewalk outside a marketplace,0.5266453151676017,street with many white tents with display table with people walking nearby,0.09041225239064325
8,380527679_574749123d,a woman in a red coat and black pants is walking on a sidewalk,0.11775158632064034,a fruit stand with a group of people standing around it,0.0,a group of people are standing in linet at a fruit stand,0.2944241554860955,a group of people shop for fruit at an urban farmers market,0.0,many people stand near a fruit vendor on a street,0.29433377611710615,people shopping at a fruit stand,0.0
9,380537190_11d6c0a412,a group of people sit on a bench,0.203419486082214,a group of people stand at a farmers market on a dreary day,0.6437018830587686,a white tented fruit stand with several people shopping in it,0.04679728903755691,people shop for fresh produce at an outdoor market in the city,0.04564864968190606,people visiting a street market,0.08390630685583894,several people shop at an outdoor farmer s market on a cloudy day,0.19704330177699944
10,380590140_25b9889772,a man stands on a sidewalk,0.1460085149655411,a busy highway scene with a woman crossing a crosswalk on the left,0.2575362495421414,a lady crosses a busy road on the crosswalk,0.322444504927649,a woman crosses a street while traffic lines up in the opposite direction,0.0,street with traffic with one person in crosswalk  two others at corner and one person sitting on ground,0.15006182035791513,woman walking in crosswalk near a busy street,0.0
11,381052465_722e00807b,a race car spins on a track,0.10038352819079517,a firetruck fights a fire,0.0,a yellow firetruck is parked next to a fire with a man on a ladder pouring water on it,0.5019176409539758,firefighters putting out a big fire,0.0,fireman fighting a fire,0.0,people putting out a fire,0.0
12,381239475_044cbffa2b,a black dog jumping into the water,0.37750359686975254,a black dog is swimming while carrying a tennis,0.2611110181903017,a black dog swimming in the water with a tennis ball in his mouth,0.5059284633265141,a black dog swims through the water with a tennis ball in its mouth,0.5409776714665797,a dog swims in water with a blue and green tennis ball in its mouth,0.1716365574104056,a dog with a ball in its mouth swims in the water,0.4078642739549617
13,381275595_b429fd1639,a woman is playing with a dog in the grass,0.1919567780455378,a brown dog is chewing on a bone with a stuffed animal underneath it,0.4348016466882628,a dog chews on a bone,0.12648602606374051,big brown dog chews on bone lying down,0.06527986890477305,big hairy dog chews on a bone while lying on a furry toy,0.049078791236945286,brown dog chews on bone while laying on the rug,0.2841375573339673
14,381514859_b40418d9c3,a white dog running across a grassy field,0.2672496628050787,two small white dogs are in a yard chasing a red ball,0.26514450198440326,two small white dogs chasing after a red ball,0.3329072912356161,two small white dogs chasing a red ball,0.378715220850494,two west highland terriers chase a red ball,0.0,two white dogs chase after a red ball in a yard in front of a white fence,0.3594812999548803
15,381976882_0063d16d88,a man and a dog are running on a beach,0.18948625745381137,four dogs are being walked by two owners,0.32478942357969126,four dogs on leashes walk down a sidewalk,0.1842151451141602,four little dogs on leashes take a walk on a wide path,0.27328639792353976,four small dogs on leashes walking in a park,0.16514032065166578,someone is walking their dogs,0.0
16,382090166_be2c2c63e1,a black dog running through a field of grass,0.27655909361067776,a white dog and two black dogs playing,0.4119910147163748,a white poodle and  black poodles are playing on the grass,0.3200169688518149,a white poodle and two black poodles are playing in the grass on an autumn day,0.2363897401320066,a white poodle is climbing over a black poodle  who is in turn climbing over another black poodle,0.08048365382276934,two black dogs and one white dog interact,0.3339140905304232
17,382151094_c7376cf22b,a baby in a blue dress and a pink shirt is smiling,0.1149156835465055,a boy is putting the cone end of a melting ice cream cone in his mouth,0.4247767160764718,a boy with his eyes closed eats the bottom of an ice cream cone,0.0,a young boy eating ice cream,0.0,a young boy wearing a big watch eats an ice cream cone,0.0,little boy is eating the rest of the ice cream cone from the bottom up,0.1498017016560557
18,382701159_f98c1988cd,a man and a dog are running in the snow,0.4007045823454548,a man fishes in the ocean,0.6947171992937284,a man fly fishes in the ocean,0.6192267283773,a man fly fishing,0.2419703803660371,a man is fishing in kneehigh waves of water,0.2959182020888862,the person is fishing  with waves splashing around him,0.151690401601322
19,383223174_7165a54c30,a man in a black and white dog is running in the grass,0.2575800708038562,a brown dog plays with a stick,0.07820365216680072,a brown dog wearing a key is playing in the dirt,0.5186210095012185,a lean light brown dog has his head down on the ground playing with a stick,0.10215437001315439,a tan dog rests his head in the sand,0.37314691638560127,two dogs and a person,0.21577440595250622
20,384465370_9918873f9a,a woman in a red coat and black pants is walking on a snowy path,0.19263941718711583,two cyclists atop a hill as seen from below,0.0,two cyclist wearing red shirts going over a red hill,0.27788294406757424,two people in red outfits riding their bicycles down a dirt road,0.3732829095610276,two people ride their bikes down a dirt road,0.0,two people riding their bikes on a hill,0.31203123230697744
21,384465575_31294122c0,a man is riding a bike through the woods,0.17052288860442116,a man and a woman are biking on a sunny day,0.1625066597166093,man and woman cyclists ride pass signs on rural road,0.14404374662253536,two bicyclists ride down a hill,0.0,two friends bike down a hill,0.3171511934156302,two people are riding their bicycles on a dirt road,0.2289128432673311
22,384577800_fc325af410,a dog running through the snow,0.3601682673216972,a brown dog carries an object in its mouth on a snowy hillside,0.06877183074608217,a collie running through the snow,0.7815567166804591,a sheltie dog carries a whitecolored toy in its mouth as it walks across the snow,0.19179692856639174,dog with a toy in the snow,0.3680389645388369,the dog wades through deep snow with something in its mouth,0.3906768960767163
23,385186343_464f5fc186,a woman is sitting on a bench with a dog in the background,0.2979903163650766,a black dog in a pink sweater is up on his hind legs in front of a pink blanket,0.49527418244034926,a dog on two feet wearing a pink sweater,0.25870237711080235,a dog wears a pink sweater,0.12535053940185345,a little puppy wearing a pink sweater  jumps,0.0,the dog is wearing a pink sweater,0.6106244828723779
24,385835044_4aa11f6990,a woman in a black coat and black pants is walking on the sidewalk,0.2545207603725316,a girl wearing a brown jacket and blue jeans has on some white headphones and is walking,0.32815404022851324,a girl wearing earphones walks past a traffic cone,0.0,a woman in black and red listens to an ipod  walks down the street,0.4872364084078128,a woman wearing headphones is walking past a road cone,0.26503901037810385,a woman wearing headphones walks down the street,0.19217434284822776
25,386160015_d4b31df68e,a man is playing in the water,0.2970769882939947,a brown dog playing play wrestling with a black dog on snow covered land,0.09784330353144298,the two dogs are fighting outside in the snow,0.6300486680257482,two brown dogs playing in snow,0.4195448060306495,two dogs are wrestling in a snow covered field,0.1615985889732581,two dogs playing on snow covered ground,0.17634957490887487
26,386470686_1ae9242878,two men are climbing up a snowy hill,0.0,a man crouched in the bare branches of a fallen tree,0.0,a man in a white shirt and khaki pants crouches on a fallen tree trunk,0.0,a man in tan capris  brown sandals  and a white tshirt  crouches on the trunk of a tree,0.0,a man is crouched on top of a horizontal tree,0.0,a man sitting in the middle of branches on a fallen tree,0.0
27,386655611_1329495f97,a black dog is running through the water,0.2802883538781963,a black dog carries a huge stick in its mouth,0.27410791106991195,a black dog is carrying a huge stick whilst walking in the snow,0.5824271805896108,a dog carries a huge  snow covered stick,0.09183146444450578,a dog carries a very large tree branch in the snow,0.1968859351703462,the brown and white dog carries a very large stick across the snow,0.25618927811660686
28,386656845_4e77c3e3da,two dogs are running through the water,0.3215902740539483,a black dog and a brown dog are standing next to each other in the snow,0.24925864216165178,a little tan dog is in confrontation with a large black dog in the snow,0.06298544195500758,a scruffy golden dog meeting a black doberman in the snow,0.08237285491982083,two dogs in the snow,0.6948421141089371,two dogs standing in snow,0.5184923171243241
29,387078972_514a38dc33,a dog running through the snow,0.40298815535404164,a dog walking along the side of a house in the snow,0.5237639659860693,a white dog is walking by a building in the snow,0.4174716668724372,a white dog next to a basement window,0.11472997961658166,a white dog walking on some rocks along a house in the snow,0.3714341212495446,a white dog walks in the snow,0.5875410430455756
30,387830531_e89c192b92,a brown dog running with a brown dog,0.2357910452381827,a brown dog about to jump on a smaller black and tan dog,0.5167462834440751,large dog playing with smaller dog,0.5129499604855976,two dogs are playing together outside,0.0,two dogs playing in the grass with an adult nearby,0.061012151366551914,two dogs playing with each other,0.08824683089468868
31,387974450_bcd205daac,a dog running through a field of grass,0.19490951716915,a black dog runs along a field where black birds are beginning to fly,0.12103578698540274,a dark colored dog running in a field with multilple birds in the background,0.3436294040578108,a dog runs at birds taking flight,0.06777070836321115,a grey dog chases a bunch of crows  a river in the background,0.2752843839116177,the dog chases the birds in the field,0.16682730252770758
32,388386075_9ac3a89ada,a little girl in a pink dress and pink boots is running through a field,0.14853007634526977,a boy plays with a train set,0.0,a boy takes off his glasses while playing with his toy trains,0.0,a little boy is playing with some trains,0.5424162562881552,a small child wearing a blue shirt playing with his glasses,0.0,a young boy pulling down his eye glasses and looking a toy trains,0.20023412543819374
33,389643437_9a9830a3ba,a little girl in a pink dress and pink pants running through a field,0.21334145608212518,a girl in a white cap eats a slice of fruit next to a girl in a blue cap who is eating chocolate,0.48108424333581506,one young girl eats fruit while another eats chocolate,0.21222443878663944,two children taking in a snack,0.22709293268017594,two girls sitting in the grass wearing hats eat snacks,0.1463056656079953,two girls with baseball caps are eating a snack outside,0.0
34,390360326_26f5936189,a dog running in the snow,0.4665932865195314,a brown dog is carrying a toy in the snow,0.4814356484394333,a dog running with something in its mouth,0.35703990392024454,a dog runs across the snow,0.46260139782914117,a dog with a frisbie in his mouth is running in a snowy field,0.34359325299626176,tan dog with a toy running in the snow,0.6882962294125765
35,390671130_09fdccd52f,a dog running across the grass,0.17381393511275894,a black and white dog stands on the grass with a baseball in his mouth,0.5589513427880496,a closeup of a small black and white dog with a baseball in its mouth,0.06329027710810332,black and white dog holding a baseball in mouth,0.09075079434825163,brown and white dog with baseball in mouth  field and building,0.0679628550891204,brown and white dog with a baseball in its mouth,0.08811440623026975
36,390986651_c801db91a0,a group of people sit on a bench,0.18335012900251943,a person peaks their head out of a tent set up in a snowy field,0.14286383783412182,a woman emerges from her snow covered tent,0.0,a woman sticking her head out of her tent on the side of a snowy moutnain,0.466810944172823,a woman wearing glasses and a hat pokes her head through the door of a tent on a snowy day,0.30707586300565237,the camper opens up to see snow all around,0.0
37,390987167_2d5905b459,a woman in a black coat and a brown dog in the snow,0.1825213380488605,a hiker moves up a snowy mountain,0.0,a woman in a tank and sunglasses climbs a sunny but snowcovered slope,0.37101096175818415,a woman wearing a black hat and white sunglasses walks up a snowy and steep path,0.2677734291927162,a woman wearing short sleeves and sunglasses is backpacking up a snowy mountain cliff,0.10275940693695103,woman climbing a snow covered mountain looking at people behind her,0.17106289235645114
38,390992102_67fa31b22f,a person stands on a rock overlooking a valley,0.20135522661318744,a hiker climbs a mountain on a windy day,0.25263103096376394,a man walking up a mountain with snow on the surface,0.2237524074347351,a person hikes across a grass and snow covered plain,0.22548346649074533,person walking across a snow covered mountain,0.3049092281766929,the man carries a large backpack while hiking through snowcovered terrain,0.0
39,390992388_d74daee638,a skier is skiing down a snowy hill,0.2404290544677922,a girl treks through the snow with her backpack on,0.0,a hiker is climbing up a snowy mountain,0.3579120726301049,a hiker using hiking poles on a snowy mountain,0.1041477651855304,someone hikes through a snowy mountain range,0.10764752682933407,the woman is hiking up a snowy hill,0.6324379076939914
40,391020801_aaaae1e42b,a man in a black and white uniform is holding a football,0.2526603069930362,a man gesticulates,0.2037423096508549,a man in a white shirt holding both hands out,0.5236757871906924,an elderly male wearing a white wal mart smock with his arms and hand extended in front of him,0.26342978625495184,a old man in a wall mart unifrom holds his arms out to the camera,0.15134342914557425,a walmart worker wearing a white coat,0.12111022272310748
41,391106734_d374bc3080,a dog jumping over a hurdle,0.13721415329360526,a brown and white dog is standing on its hind legs reaching for a ball,0.06900458674451863,a dog jumps to meet a soccer ball flying towards it,0.08229077085135228,a dog stands on one leg and tries to get a soccer ball,0.07473783418825253,black and white dog jumps for ball,0.10922374709821077,the brown and white dog is jumping up in an attempt to catch a ball,0.350813827585692
42,391324644_d23fdf06cb,a skateboarder jumping in the air,0.0,a guy on inline skates with a white hat is on a yellow rail,0.0,a male skater is riding a yellow rail,0.0,a man rollerblades across a yellow pole at night,0.0,an inline skater boy balances on a yellow rail,0.0,a skater does a trick on a yellow handrail,0.0
43,391579205_c8373b5411,a man is playing with a dog in the snow,0.30052080466585984,a dog jumping up to touch a woman s hand,0.056642413985966256,a dog jumps to an elderly woman,0.0641188415591913,an airborne dog on a leash with a woman,0.28909904006844134,the small dog is leaping in the air toward the woman s hand,0.5822719723216846,the woman in the blue sweater encourages the dog to jump in the air,0.5104717553940158
44,391723162_3bdeb7ea33,a black dog running through the snow,0.46023964613491897,a black dog digging through the snow,0.9037229456309501,a black dog digs in the snow,0.4641441013440461,a large black dog is digging in the deep snow,0.3361509695147053,a small black and brown dog is standing in the snow,0.2891648730068552,black dog digging in white snow,0.30801534117803786
45,392467282_00bb22e201,two dogs run through the snow,0.5240975316197213,two big brown dogs running through the snow,0.7172445683755362,two brown dogs are running over snow in a line,0.25260393447327356,two brown dogs walking through snow,0.6137454493377097,two dogs running in the snow,0.6329307543079264,two weimaraners running in the snow,0.40396295160416074
46,392976422_c8d0514bc3,a girl in a pink shirt and hat is sitting on a bench,0.24738507149741684,a boy in a blue shirt is walking along a tan and blue wall,0.5388712742091948,a boy in stripes walking along a ledge,0.114759865519557,a boy scales the wall,0.0,a child in a striped shirt is walking along a wall,0.4795178122829774,boy in striped tshirt walking along a ledge,0.10377640547535488
47,393284934_d38e1cd6fe,a woman is sitting on a bench and a dog in the background,0.2521836834922753,a black and white dog  with a red cap on its head  yawning,0.3645085984481641,a dog that is wearing a red cap is standing by a guitar with its mouth wide open,0.2572867152600419,a dog wearing a hat stretches open its mouth,0.067691469016499,a dog wearing a red hat opens its mouth wide,0.06455448688005352,the dog is wearing a red baseball cap  and has its mouth wide open,0.5068771478566181
