,id,prediction,mean_cosine_score,ref_cap_1,cos_scr_1,ref_cap_2,cos_scr_2,ref_cap_3,cos_scr_3,ref_cap_4,cos_scr_4,ref_cap_5,cos_scr_5
0,377872472_35805fc143,a dog running through the snow,0.326852023601532,"['one', 'dog', 'is', 'standing', 'whilst', 'two', 'other', 'dogs', 'are', 'running', 'in', 'the', 'snow']",0.3995683193206787,"['three', 'dogs', 'are', 'playing', 'around', 'in', 'the', 'snow']",0.3912418484687805,"['three', 'dogs', 'chasing', 'each', 'other', 'in', 'the', 'snow']",0.3766709566116333,"['three', 'dogs', 'play', 'in', 'snow']",0.15668055415153503,"['two', 'dogs', 'play', 'together', 'in', 'the', 'snow']",0.31009840965270996
1,377872672_d499aae449,a man and a dog are running in the snow,0.5136324167251587,"['four', 'dogs', 'play', 'in', 'the', 'snow', 'with', 'the', 'city', 'skyline', 'behind', 'them']",0.3719905912876129,"['the', 'dogs', 'are', 'playing', 'in', 'the', 'snow']",0.5981868505477905,"['three', 'dogs', 'are', 'in', 'the', 'snow', 'and', 'one', 'is', 'wearing', 'a', 'winter', 'coat']",0.5365279912948608,"['three', 'dogs', 'playing', 'in', 'the', 'snow', 'while', 'one', 'dog', 'wears', 'a', 'jacket']",0.5112214088439941,"['three', 'dogs', 'playing', 'in', 'the', 'snow', 'with', 'a', 'city', 'in', 'the', 'background']",0.5502352714538574
2,378170167_9b5119d918,a dog running through the snow,0.4195490777492523,"['a', 'white', 'dog', 'is', 'running', 'along', 'a', 'path', 'outside']",0.4280317723751068,"['a', 'white', 'dog', 'travels', 'along', 'a', 'narrow', 'path', 'in', 'a', 'park', 'setting']",0.3218986988067627,"['a', 'yellow', 'dog', 'running', 'along', 'a', 'forest', 'path']",0.43494755029678345,"['the', 'twotone', 'dog', 'is', 'running', 'down', 'the', 'trail']",0.5819772481918335,"['white', 'dog', 'traveling', 'alone', 'down', 'a', 'paved', 'path', 'through', 'some', 'woods']",0.33089008927345276
3,378453580_21d688748e,a dog jumping through the air,0.3904569149017334,"['a', 'dog', 'is', 'jumping', 'over', 'a', 'log', 'in', 'a', 'wooded', 'area', 'while', 'carrying', 'another', 'log']",0.38094499707221985,"['a', 'dog', 'with', 'a', 'stick', 'in', 'his', 'mouth', 'jumps', 'over', 'a', 'fallen', 'tree', 'in', 'the', 'forest']",0.3827158212661743,"['dog', 'carries', 'stick', 'and', 'jumps', 'over', 'a', 'log']",0.2801192104816437,"['the', 'dog', 'carries', 'a', 'stick', 'and', 'jumps', 'over', 'a', 'log', 'in', 'the', 'woods']",0.4814431965351105,"['the', 'dog', 'jumps', 'over', 'the', 'log', 'with', 'a', 'stick', 'in', 'its', 'mouth']",0.4270614981651306
4,379006645_b9a2886b51,a dog jumping off a dock,0.2042713463306427,"['a', 'black', 'and', 'brown', 'dog', 'is', 'running', 'between', 'two', 'cement', 'barriers', 'with', 'snow']",0.23121289908885956,"['a', 'dog', 'runs', 'down', 'the', 'cold', 'aisle']",0.40076833963394165,"['black', 'and', 'tan', 'small', 'dog', 'walking', 'with', 'perked', 'ears']",0.07814355939626694,"['the', 'black', 'and', 'brown', 'dog', 'walks', 'toward', 'the', 'camera', 'in', 'an', 'enclosed', 'snowy', 'area']",0.09384266287088394,"['the', 'brown', 'and', 'black', 'dog', 'is', 'running', 'through', 'a', 'snowy', 'street']",0.21738919615745544
5,380034515_4fbdfa6b26,a dog jumps over a log,0.3930063843727112,"['a', 'furry', 'dog', 'is', 'running', 'through', 'a', 'doorway', 'leading', 'to', 'plants']",0.4023982882499695,"['a', 'furry', 'tan', 'dog', 'is', 'outside', 'on', 'a', 'patio']",0.4668813943862915,"['a', 'short', 'furry', 'dog', 'stands', 'on', 'a', 'brick', 'floor', 'in', 'front', 'of', 'a', 'group', 'of', 'potted', 'plants']",0.4529794454574585,"['a', 'very', 'hairy', 'dog', 'is', 'running', 'down', 'a', 'hall']",0.49236157536506653,"['flowers', 'are', 'behind', 'the', 'fluffy', 'dog', 'that', 'is', 'coming', 'up', 'the', 'step']",0.15041117370128632
6,380041023_0dfd712ef1,a brown dog is jumping up to catch a ball,0.45313507318496704,"['a', 'brown', 'and', 'black', 'dog', 'runs', 'through', 'the', 'leaves']",0.3522655963897705,"['a', 'brown', 'dog', 'is', 'running']",0.5469536781311035,"['a', 'brown', 'dog', 'with', 'a', 'red', 'collar', 'jumping', 'across', 'a', 'leafy', 'lawn']",0.5561054348945618,"['a', 'dog', 'with', 'a', 'brindlecolored', 'coat', 'is', 'running', 'across', 'the', 'yard']",0.4003507196903229,"['the', 'brown', 'dog', 'is', 'wearing', 'a', 'red', 'collar']",0.40999993681907654
7,380515798_c2abbf46b0,a woman in a red coat and black pants is walking on a sidewalk,0.3648533225059509,"['a', 'crowd', 'walks', 'along', 'a', 'sidewalk', 'of', 'a', 'farmers', 'market']",0.5413116216659546,"['a', 'street', 'market', 'filled', 'with', 'white', 'tents', 'pedestrians', 'and', 'vendors']",0.24688227474689484,"['a', 'woman', 'looks', 'over', 'a', 'table', 'of', 'organic', 'vegetables', 'at', 'a', 'farmer', 's', 'market']",0.41356346011161804,"['men', 'and', 'women', 'walking', 'on', 'the', 'sidewalk', 'outside', 'a', 'marketplace']",0.5170363187789917,"['street', 'with', 'many', 'white', 'tents', 'with', 'display', 'table', 'with', 'people', 'walking', 'nearby']",0.10547295212745667
8,380527679_574749123d,a woman in a red coat and black pants is walking on a sidewalk,0.30475202202796936,"['a', 'fruit', 'stand', 'with', 'a', 'group', 'of', 'people', 'standing', 'around', 'it']",0.3115895688533783,"['a', 'group', 'of', 'people', 'are', 'standing', 'in', 'linet', 'at', 'a', 'fruit', 'stand']",0.37154442071914673,"['a', 'group', 'of', 'people', 'shop', 'for', 'fruit', 'at', 'an', 'urban', 'farmers', 'market']",0.17739331722259521,"['many', 'people', 'stand', 'near', 'a', 'fruit', 'vendor', 'on', 'a', 'street']",0.4055059552192688,"['people', 'shopping', 'at', 'a', 'fruit', 'stand']",0.25772690773010254
9,380537190_11d6c0a412,a group of people sit on a bench,0.40128225088119507,"['a', 'group', 'of', 'people', 'stand', 'at', 'a', 'farmers', 'market', 'on', 'a', 'dreary', 'day']",0.7063711285591125,"['a', 'white', 'tented', 'fruit', 'stand', 'with', 'several', 'people', 'shopping', 'in', 'it']",0.35940614342689514,"['people', 'shop', 'for', 'fresh', 'produce', 'at', 'an', 'outdoor', 'market', 'in', 'the', 'city']",0.2084406614303589,"['people', 'visiting', 'a', 'street', 'market']",0.3886452317237854,"['several', 'people', 'shop', 'at', 'an', 'outdoor', 'farmer', 's', 'market', 'on', 'a', 'cloudy', 'day']",0.3435479998588562
